年份,学校官网,学校,学院官网,学院,代码,proname_url,专业,总分,政治,英语,数学,408专业基础
2023,http://yz.kaoyan365.cn/school/tju/,天津大学,http://yz.kaoyan365.cn/school/tju/yuanxi/1605/,计算机科学与技术College,081203,http://yz.kaoyan365.cn/school/tju/zhuanye/211519.html,计算机应用技术,-,-,-,-,-
2023,http://yz.kaoyan365.cn/school/tju/,天津大学,http://yz.kaoyan365.cn/school/tju/yuanxi/1605/,计算机科学与技术College,081203,http://yz.kaoyan365.cn/school/tju/zhuanye/211518.html,计算机应用技术,-,-,-,-,-
2023,http://yz.kaoyan365.cn/school/tju/,天津大学,http://yz.kaoyan365.cn/school/tju/yuanxi/1605/,计算机科学与技术College,081202,http://yz.kaoyan365.cn/school/tju/zhuanye/211517.html,计算机软件与理论,-,-,-,-,-
2023,http://yz.kaoyan365.cn/school/tju/,天津大学,http://yz.kaoyan365.cn/school/tju/yuanxi/1605/,计算机科学与技术College,081203,http://yz.kaoyan365.cn/school/tju/zhuanye/211520.html,计算机应用技术,-,-,-,-,-
2023,http://yz.kaoyan365.cn/school/gdut/,广东科技大学,http://yz.kaoyan365.cn/school/gdut/yuanxi/10942/,计算机College,081200,http://yz.kaoyan365.cn/school/gdut/zhuanye/210878.html,计算机科学与技术,340,37,37,56,56
2023,http://yz.kaoyan365.cn/school/gdut/,广东科技大学,http://yz.kaoyan365.cn/school/gdut/yuanxi/10942/,计算机College,081200,http://yz.kaoyan365.cn/school/gdut/zhuanye/210881.html,计算机科学与技术,340,37,37,56,56
2023,http://yz.kaoyan365.cn/school/gdut/,广东科技大学,http://yz.kaoyan365.cn/school/gdut/yuanxi/10942/,计算机College,081200,http://yz.kaoyan365.cn/school/gdut/zhuanye/210877.html,计算机科学与技术,340,37,37,56,56
2023,http://yz.kaoyan365.cn/school/gdut/,广东科技大学,http://yz.kaoyan365.cn/school/gdut/yuanxi/10942/,计算机College,081200,http://yz.kaoyan365.cn/school/gdut/zhuanye/210880.html,计算机科学与技术,340,37,37,56,56
2023,http://yz.kaoyan365.cn/school/gdut/,广东科技大学,http://yz.kaoyan365.cn/school/gdut/yuanxi/10942/,计算机College,081200,http://yz.kaoyan365.cn/school/gdut/zhuanye/210879.html,计算机科学与技术,340,37,37,56,56
2023,http://yz.kaoyan365.cn/school/tju/,天津大学,http://yz.kaoyan365.cn/school/tju/yuanxi/1605/,计算机科学与技术College,081203,http://yz.kaoyan365.cn/school/tju/zhuanye/210302.html,计算机应用技术,-,-,-,-,-
