年份,学校官网,学校,学院官网,学院,代码,proname_url,专业,总分,政治,英语,数学,408专业基础,省份,院校层次
2023,http://yz.kaoyan365.cn/school/gdut/,广东科技大学,http://yz.kaoyan365.cn/school/gdut/yuanxi/10942/,计算机学院,081200,http://yz.kaoyan365.cn/school/gdut/zhuanye/210878.html,计算机科学与技术,340,37,37,56,56,广东,985高校
2023,http://yz.kaoyan365.cn/school/gdut/,广东科技大学,http://yz.kaoyan365.cn/school/gdut/yuanxi/10942/,计算机学院,081200,http://yz.kaoyan365.cn/school/gdut/zhuanye/210881.html,计算机科学与技术,340,37,37,56,56,广东,985高校
2023,http://yz.kaoyan365.cn/school/gdut/,广东科技大学,http://yz.kaoyan365.cn/school/gdut/yuanxi/10942/,计算机学院,081200,http://yz.kaoyan365.cn/school/gdut/zhuanye/210877.html,计算机科学与技术,340,37,37,56,56,广东,985高校
2023,http://yz.kaoyan365.cn/school/gdut/,广东科技大学,http://yz.kaoyan365.cn/school/gdut/yuanxi/10942/,计算机学院,081200,http://yz.kaoyan365.cn/school/gdut/zhuanye/210880.html,计算机科学与技术,340,37,37,56,56,广东,985高校
2023,http://yz.kaoyan365.cn/school/gdut/,广东科技大学,http://yz.kaoyan365.cn/school/gdut/yuanxi/10942/,计算机学院,081200,http://yz.kaoyan365.cn/school/gdut/zhuanye/210879.html,计算机科学与技术,340,37,37,56,56,广东,985高校
2023,http://yz.kaoyan365.cn/school/xiyou/,西安邮电大学,http://yz.kaoyan365.cn/school/xiyou/yuanxi/8840/,计算机学院,081200,http://yz.kaoyan365.cn/school/xiyou/zhuanye/210255.html,计算机科学与技术,305,37,37,56,56,陕西,985高校
2023,http://yz.kaoyan365.cn/school/cqut/,重庆理工大学,http://yz.kaoyan365.cn/school/cqut/yuanxi/6905/,计算机科学与工程学院,081200,http://yz.kaoyan365.cn/school/cqut/zhuanye/210161.html,计算机科学与技术,264,37,37,56,56,重庆,985高校
2023,http://yz.kaoyan365.cn/school/cqut/,重庆理工大学,http://yz.kaoyan365.cn/school/cqut/yuanxi/6905/,计算机科学与工程学院,081200,http://yz.kaoyan365.cn/school/cqut/zhuanye/210162.html,计算机科学与技术,264,37,37,56,56,重庆,985高校
2023,http://yz.kaoyan365.cn/school/cqut/,重庆理工大学,http://yz.kaoyan365.cn/school/cqut/yuanxi/6905/,计算机科学与工程学院,081200,http://yz.kaoyan365.cn/school/cqut/zhuanye/210163.html,计算机科学与技术,264,37,37,56,56,重庆,985高校
2023,http://yz.kaoyan365.cn/school/cqut/,重庆理工大学,http://yz.kaoyan365.cn/school/cqut/yuanxi/6905/,计算机科学与工程学院,081200,http://yz.kaoyan365.cn/school/cqut/zhuanye/210159.html,计算机科学与技术,264,37,37,56,56,重庆,985高校
